cena_m2,powierzchnia,rok_budowy,pietro,pietro_max,winda,balkon,taras,wspolrzedne_szerokosc,wspolrzedne_wysokosc,odleglosc_metro,odleglosc_centrum,agencja,spoldzielcze,remont,wykonczenie
18105.0,69.04,2020.0,2.0,5.0,1,1,0,52.32088295,21.00008979,3.605906265187976,9.922770806239356,1,0,0,0
15699.0,63.38,1952.0,0.0,4.0,0,0,0,52.2445565,20.99078,0.7579457130640226,1.7659305773778724,1,0,0,0
19774.0,70.8,2007.0,2.0,5.0,1,1,0,52.255,20.9325,1.676084586301709,5.637204869271747,1,0,0,0
14773.0,44.0,2012.0,1.0,3.0,1,0,1,52.33364,20.97332,5.820307546850082,11.549637273228008,1,0,0,0
16283.0,46.0,1955.0,0.0,4.0,0,0,0,52.22018,20.97842,1.121338837996417,2.2777849461918738,1,0,0,0
12239.0,61.28,2022.0,0.0,1.0,0,0,0,52.2150473,21.1833244,10.228379301513696,12.216776110256784,1,0,0,1
13919.0,74.0,2019.0,2.0,3.0,1,1,0,52.15104,21.0068,1.7615581402258178,8.971365023469454,1,0,0,0
21765.0,85.0,1955.0,0.0,3.0,0,0,0,52.2268907,21.0123658,0.0963224038553237,0.6880362191004888,1,0,0,0
20875.0,59.88,2018.0,1.0,5.0,1,0,1,52.19832,21.01715,1.056413665863177,3.7901267470674287,1,0,0,0
15988.0,68.8,1977.0,4.0,10.0,1,1,0,52.15790988817604,21.02870157539369,0.5959516366689829,8.351279153106992,0,1,0,1
26500.0,25.0,1994.0,1.0,15.0,1,0,0,52.23305305784418,20.966807953025825,0.1887668024180626,2.6765920936715486,1,1,0,0
14855.0,86.1,1994.0,3.0,4.0,0,1,0,52.175931116602,21.063607716205,3.058326603016507,7.339455699966332,1,0,0,0
24505.0,80.8,2018.0,1.0,5.0,1,1,0,52.2279436,20.9586224,0.8012933780483431,3.2573078673224094,1,0,0,0
16386.0,46.93,2022.0,6.0,6.0,1,1,0,52.2419,21.1573,7.842640255691953,10.361503987359068,1,0,0,0
9337.0,66.4,1998.0,4.0,4.0,1,0,0,52.3472426,20.95509876,6.988616161321103,13.304785705028232,1,0,1,0
15841.0,49.87,1952.0,0.0,3.0,0,0,0,52.2059285,21.0424811,2.3903211237932416,3.7926455491595945,1,0,0,0
13419.0,57.38,1976.0,7.0,10.0,1,1,0,52.29496298058744,20.94027089206543,1.126627403019863,8.336265197243103,1,0,0,0
15893.0,56.0,2010.0,10.0,15.0,1,0,0,52.2458,20.961463,0.8646679377518706,3.4159637117949795,1,0,0,0
18778.0,90.0,2010.0,2.0,4.0,1,0,0,52.16374,21.07302,2.6248188579970493,8.83021783875833,1,0,0,0
18500.0,24.0,1970.0,6.0,10.0,1,1,0,52.26650593964761,20.96187486755371,0.8088992105381277,4.899542054061361,0,1,1,0
